Speaker		Gender	NumLines	Play	TopVillain	Fools
Fool		Male	22	Timon of Athens		fool
Messenger		Male	22	King John		
Robert Faulconbridge		Male	22	King John		
Fourth Plebeian		Male	22	Julius Caesar		
Ross		Male	22	Richard II		
Frenchman		Male	22	Cymbeline		
Son		Male	22	Henry VI Part 3		
Second Friend		Male	22	The Two Noble Kinsmen		
Snout		Male	22	A Midsummer Night's Dream		
Gentleman		Male	21	All's Well That Ends Well		
First Citizen		Male	21	King Edward III		
Jupiter		Male	21	Cymbeline		
Abhorson		Male	21	Measure for Measure		
Decretas		Male	21	Antony and Cleopatra		
Exton		Male	21	Richard II		
Angus		Male	21	Macbeth		
Lord		Male	21	Macbeth		
First Outlaw		Male	21	The Two Gentlemen of Verona		
First Plebeian		Male	21	Julius Caesar		
Mayor		Male	21	Henry VI Part 1		
First Watchman		Male	21	Much Ado About Nothing		
Bolingbroke		Male	21	Henry VI Part 2		
Clarence		Male	21	Henry IV Part 2		
First Lord		Male	21	Timon of Athens		
Voltemand		Male	21	Hamlet		
Mopsa		Female	21	The Winter's Tale		
Archidamus		Male	21	The Winter's Tale		
Emilia		Female	20	The Winter's Tale		
Audrey		Female	20	As You Like It		
Second Officer		Male	20	Coriolanus		
Volsce		Male	20	Coriolanus		
Caphis		Male	20	Timon of Athens		
Messenger		Male	20	Timon of Athens		
Messenger		Male	20	King Lear		
Second Watchman		Male	20	Much Ado About Nothing		
Servant Of Antony		Male	20	Julius Caesar		
Son		Male	20	Macbeth		
Salisbury		Male	20	Richard II		
Second Goth		Male	20	Titus Andronicus		
Messenger		Male	20	Antony and Cleopatra		
Hastings		Male	20	Henry VI Part 3		
Priam		Male	20	Troilus and Cressida		
Servant		Male	20	Troilus and Cressida		
Mariana		Female	20	All's Well That Ends Well		
Duke		Male	19	All's Well That Ends Well		
Mardian		Male	19	Antony and Cleopatra		
Diomedes		Male	19	Antony and Cleopatra		
Nurse		Female	19	Titus Andronicus		
Macmorris		Male	19	Henry V		
Chamberlain		Male	19	Henry IV Part 1		
All Witches		Female	19	Macbeth		
Artemidorus		Male	19	Julius Caesar		
Horner		Male	19	Henry VI Part 2		
Second Messenger		Male	19	Coriolanus		
Boy		Male	19	Richard III		
Third Fisherman		Male	18	Pericles		
First Lord		Male	18	Pericles		
First Watchman		Male	18	Romeo and Juliet		
Gentleman		Male	18	The Winter's Tale		
Second Clown		Male	18	Hamlet		
Servilius		Male	18	Timon of Athens		
Holland		Male	18	Henry VI Part 2		
Aemilius		Male	18	Titus Andronicus		
Cinna		Male	18	Julius Caesar		
Soothsayer		Male	18	Julius Caesar		
First Messenger		Male	18	Henry VI Part 1		
Master Gunner		Male	18	Henry VI Part 1		
Abergavenny		Male	18	Henry VIII		
Second Carrier		Male	18	Henry IV Part 1		
Percy		Male	18	King Edward III		
Fourth Countryman		Male	18	The Two Noble Kinsmen		
Messenger To Caesar		Male	18	Antony and Cleopatra		
French Soldier		Male	18	Henry V		
Grandpré		Male	18	Henry V		
Bates		Male	18	Henry V		
Doctor		Male	18	King Lear		
Whitmore		Male	18	Henry VI Part 2		
Hiems		Male	18	Love's Labour's Lost		
Jaquenetta		Female	18	Love's Labour's Lost		
Ver		Male	18	Love's Labour's Lost		
Copland		Male	17	King Edward III		
Ambassador		Male	17	Henry V		
Philo		Male	17	Antony and Cleopatra		
Queen		Female	17	King Edward III		
Metellus		Male	17	Julius Caesar		
Pindarus		Male	17	Julius Caesar		
Bevis		Male	17	Henry VI Part 2		
Third Gentleman		Male	17	Othello		
First Keeper		Male	17	Henry VI Part 3		
Exeter		Male	17	Henry VI Part 3		
Second Lord		Male	17	Timon of Athens		
Jaques De Boys		Male	17	As You Like It		
First Gentleman		Male	17	Pericles		
Second Gentleman		Male	16	The Winter's Tale		
Plebeians		Male	16	Coriolanus		
Messenger		Male	16	Hamlet		
Knight		Male	16	King Lear		
Ligarius		Male	16	Julius Caesar		
Cobbler		Male	16	Julius Caesar		
Francis		Male	16	Henry IV Part 1		
Second Outlaw		Male	16	The Two Gentlemen of Verona		
Ambassador		Male	16	Antony and Cleopatra		
Barnardine		Male	16	Measure for Measure		
Stafford		Male	16	Henry VI Part 2		
Smith		Male	16	Henry VI Part 2		
Tailor		Male	16	The Taming of the Shrew		
Page		Male	16	The Taming of the Shrew		
First Servingman		Male	15	The Taming of the Shrew		
Tubal		Male	15	The Merchant of Venice		
Andromache		Female	15	Troilus and Cressida		
Montague		Male	15	Henry VI Part 3		
Cambridge		Male	15	Henry V		
First Senator		Male	15	Cymbeline		
Messenger		Male	15	The Comedy of Errors		
First Merchant		Male	15	The Comedy of Errors		
First Countryman		Male	15	The Two Noble Kinsmen		
Second Murderer		Male	15	Macbeth		
Peto		Male	15	Henry IV Part 1		
Captain		Male	15	Richard II		
Salisbury		Male	15	Henry VI Part 1		
Travers		Male	15	Henry IV Part 2		
Gloucester		Male	15	Henry IV Part 2		
Messenger		Male	15	Henry VI Part 2		
Sexton		Male	15	Much Ado About Nothing		
Aedile		Male	15	Coriolanus		
Lady Faulconbridge		Female	15	King John		
Reynaldo		Male	15	Hamlet		
Titus		Male	15	Timon of Athens		
Soldier		Male	15	Timon of Athens		
Servant		Male	15	The Winter's Tale		
Dorset		Male	15	Richard III		
Second Gentleman		Male	15	Pericles		
Lord Mayor		Male	14	Richard III		
Scrivener		Male	14	Richard III		
Laurence		Male	14	Romeo and Juliet		
Gentleman		Male	14	Hamlet		
All Citizens		Male	14	Coriolanus		
First Volscian Senator		Male	14	Coriolanus		
First Officer		Male	14	Coriolanus		
Brandon		Male	14	Henry VIII		
Cinna The Poet		Male	14	Julius Caesar		
Messenger		Male	14	Macbeth		
Sentry		Male	14	Antony and Cleopatra		
First Guard Of Caesar'S		Male	14	Antony and Cleopatra		
First Soldier		Male	14	Antony and Cleopatra		
Publius		Male	14	Titus Andronicus		
Officer		Male	14	The Comedy of Errors		
Valentine		Male	14	Twelfth Night		
Montgomery		Male	14	Henry VI Part 3		
Second Keeper		Male	14	Henry VI Part 3		
Woman		Female	14	The Two Noble Kinsmen		
Chorus		Male	14	A Midsummer Night's Dream		
Snug		Male	14	A Midsummer Night's Dream		
Clerk		Male	14	The Merchant of Venice		
Menelaus		Male	13	Troilus and Cressida		
Servant		Male	13	The Two Noble Kinsmen		
Montague		Male	13	King Edward III		
First Frenchman		Male	13	King Edward III		
Second Gentleman		Male	13	Cymbeline		
Queen'S Lady		Female	13	Cymbeline		
Second Soldier		Male	13	Antony and Cleopatra		
First Lord		Male	13	Coriolanus		
English Herald		Male	13	King John		
Robin		Male	13	The Merry Wives of Windsor		
All		Male	13	Henry VI Part 2		
Bullcalf		Male	13	Henry IV Part 2		
Priest		Male	13	Hamlet		
Gaoler		Male	13	The Winter's Tale		
Dorcas		Female	13	The Winter's Tale		
Second Citizen		Male	13	Richard III		
Grey		Male	12	Richard III		
Archbishop		Male	12	Richard III		
Captain		Male	12	Hamlet		
Adrian		Male	12	The Tempest		
First Musician		Male	12	Romeo and Juliet		
John		Male	12	Romeo and Juliet		
Second Watch		Male	12	Coriolanus		
Third Conspirator		Male	12	Coriolanus		
Jeweller		Male	12	Timon of Athens		
Old Man		Male	12	King Lear		
Mouldy		Male	12	Henry IV Part 2		
Servant		Male	12	Henry IV Part 2		
William		Male	12	The Merry Wives of Windsor		
Second Gentleman		Male	12	Othello		
French Herald		Male	12	King John		
Menteth		Male	12	Macbeth		
Groom		Male	12	Richard II		
Willoughby		Male	12	Richard II		
Gentlewoman		Female	12	Henry VIII		
Mother		Female	12	Cymbeline		
Pinch		Male	12	The Comedy of Errors		
First Brother		Male	12	Cymbeline		
Scroop		Male	12	Henry V		
First Officer		Male	12	Twelfth Night		
Grey		Male	12	Henry V		
Valerius		Male	12	The Two Noble Kinsmen		
Burgundy		Male	12	King Lear		
All		Male	12	Julius Caesar		
Third Servingman		Male	12	The Taming of the Shrew		
Second Servingman		Male	12	The Taming of the Shrew		
Widow		Female	11	The Taming of the Shrew		
Messenger		Male	11	The Merchant of Venice		
Starveling		Male	11	A Midsummer Night's Dream		
Vaux		Male	11	Henry VI Part 2		
French Herald		Male	11	King Edward III		
Captain		Male	11	King Edward III		
Jamy		Male	11	Henry V		
Froth		Male	11	Measure for Measure		
Second Gentleman		Male	11	Measure for Measure		
Roman Captain		Male	11	Cymbeline		
Silius		Male	11	Antony and Cleopatra		
Brother		Male	11	The Two Noble Kinsmen		
Capuchius		Male	11	Henry VIII		
Old Man		Male	11	Macbeth		
Cathness		Male	11	Macbeth		
Lieutenant To Aufidius		Male	11	Coriolanus		
Herald		Male	11	Othello		
Rugby		Male	11	The Merry Wives of Windsor		
Evans As A Satyr		Male	11	The Merry Wives of Windsor		
Drawer		Male	11	Henry IV Part 2		
Feeble		Male	11	Henry IV Part 2		
Westmorland		Male	11	Henry VI Part 3		
First Messenger		Male	11	Henry VI Part 2		
Hortensius		Male	11	Timon of Athens		
Merchant		Male	11	Timon of Athens		
First Bandit		Male	11	Timon of Athens		
Second Servant		Male	11	Timon of Athens		
Varro'S Servant		Male	11	Timon of Athens		
Ventidius		Male	11	Timon of Athens		
William		Male	11	As You Like It		
Lords		Male	11	As You Like It		
Francisco		Male	11	The Tempest		
Lychorida		Female	11	Pericles		
Mariner		Male	11	The Winter's Tale		
Fourth Messenger		Male	10	Richard III		
Ghost Of Buckingham		Male	10	Richard III		
Norfolk		Male	10	Richard III		
Diana		Female	10	Pericles		
First Servingman		Male	10	Romeo and Juliet		
Third Servant		Male	10	Timon of Athens		
Francisco		Male	10	Hamlet		
First Beadle		Male	10	Henry IV Part 2		
Herald		Male	10	King Lear		
Surrey		Male	10	Richard II		
Abbot Of Westminster		Male	10	Richard II		
Guilford		Male	10	Henry VIII		
Third Servingman		Male	10	Henry VI Part 1		
Clitus		Male	10	Julius Caesar		
Servant		Male	10	Julius Caesar		
Third French Herald		Male	10	King Edward III		
Juliet		Female	10	Measure for Measure		
First Servant		Male	10	King Lear		
First Huntsman		Male	9	The Taming of the Shrew		
Curan		Male	9	King Lear		
Spirit		Male	9	Henry VI Part 2		
Third Watchman		Male	9	Henry VI Part 3		
Herald		Male	9	King Edward III		
Mountford		Male	9	King Edward III		
First Poor Frenchman		Male	9	King Edward III		
Singer		Male	9	The Merchant of Venice		
Francisca		Female	9	Measure for Measure		
Britaine		Male	9	Henry V		
Bourbon		Male	9	Henry V		
Herald		Male	9	The Two Noble Kinsmen		
Rambures		Male	9	Henry V		
Salisbury		Male	9	Henry V		
Costard As Pompey		Male	9	Love's Labour's Lost		fool
Soldier Of Caesar'S		Male	9	Antony and Cleopatra		
First Servant		Male	9	Antony and Cleopatra		
Cicero		Male	9	Julius Caesar		
Butts		Male	9	Henry VIII		
First Man		Male	9	Richard II		
Messenger To Wife		Male	9	Macbeth		
Colevile		Male	9	Henry IV Part 2		
Messenger		Male	9	Othello		
Bona		Female	9	Henry VI Part 3		
Page		Male	9	Romeo and Juliet		
Second Lord		Male	9	Coriolanus		
First Lady		Female	9	The Winter's Tale		
Second Lord To Frederick		Male	9	As You Like It		
First Sailor		Male	9	Pericles		
Second Lord		Male	9	Pericles		
Cardinal Bourchier		Male	9	Richard III		
Blunt		Male	8	Richard III		
First Citizen		Male	8	Richard III		
Ghost Of Henry Vi		Male	8	Richard III		
Keeper		Male	8	Richard III		
Ghost Of Anne		Female	8	Richard III		
Ghosts		Male	8	Richard III		
First Servant		Male	8	Pericles		
Urswick		Male	8	Richard III		
All Together		Male	8	As You Like It		
All The Servants		Male	8	Timon of Athens		
First Varro'S Servant		Male	8	Timon of Athens		
First Servant		Male	8	Timon of Athens		
Isidore'S Servant		Male	8	Timon of Athens		
First Conspirator		Male	8	Coriolanus		
Bigot		Male	8	King John		
Fang		Male	8	Henry IV Part 2		
Sheriff		Male	8	Henry IV Part 1		
Sir Michael		Male	8	Henry IV Part 1		
Francis		Male	8	Henry IV Part 2		
Gower		Male	8	Henry IV Part 2		
Harcourt		Male	8	Henry IV Part 2		
First Petitioner		Male	8	Henry VI Part 2		
First Goth		Male	8	Titus Andronicus		
Third Murderer		Male	8	Macbeth		
Donalbain		Male	8	Macbeth		
Berkeley		Male	8	Richard II		
Lancaster		Male	8	Henry IV Part 1		
Keeper		Male	8	Henry VIII		
Lincoln		Male	8	Henry VIII		
Cato		Male	8	Julius Caesar		
Trebonius		Male	8	Julius Caesar		
Falstaff		Male	8	Henry VI Part 1		
Scales		Male	8	Henry VI Part 2		
Woman		Female	8	King Edward III		
Priest		Male	8	Twelfth Night		
Luce		Female	8	The Comedy of Errors		
Stephano		Male	8	The Merchant of Venice		
First Fairy		Male	8	A Midsummer Night's Dream		
Holofernes As Presenter		Male	8	Love's Labour's Lost		
Messenger		Male	8	King Edward III		
First Watchman		Male	8	Henry VI Part 3		
Wife		Female	8	Henry VI Part 2		
Stanley		Male	7	Henry VI Part 2		
Second Watchman		Male	7	Henry VI Part 3		
Rivers		Male	7	Henry VI Part 3		
First Wealthy Citizen		Male	7	King Edward III		
Singer		Male	7	Cymbeline		
Lord		Male	7	Cymbeline		
Erpingham		Male	7	Henry V		
Bedford		Male	7	Henry V		
Governor		Male	7	Henry V		
First Knight		Male	7	The Two Noble Kinsmen		
Second Servant		Male	7	Antony and Cleopatra		
First Servingman		Male	7	Henry VI Part 1		
Strato		Male	7	Julius Caesar		
Poet		Male	7	Julius Caesar		
Second Messenger		Male	7	Henry VI Part 1		
Second Herald		Male	7	Richard II		
Servant		Male	7	Henry VIII		
Young Seyward		Male	7	Macbeth		
Messenger		Male	7	Titus Andronicus		
Brother		Male	7	Henry VI Part 2		
First Gentleman		Male	7	Henry VI Part 2		
First Soldier		Male	7	Coriolanus		
Fourth Citizen		Male	7	Coriolanus		
Pistol As Hobgoblin		Male	7	The Merry Wives of Windsor		
Page		Male	7	Timon of Athens		
Lord		Male	7	Hamlet		
Third Bandit		Male	7	Timon of Athens		
Poet And Painter		Male	7	Timon of Athens		
Second Stranger		Male	7	Timon of Athens		
Juno		Female	7	The Tempest		
Second Conspirator		Male	7	Coriolanus		
Second Volscian Senator		Male	7	Coriolanus		
Apothecary		Male	7	Romeo and Juliet		
Third Messenger		Male	7	Richard III		
Curio		Male	7	Twelfth Night		
Lord		Male	7	Pericles		
Ghost Of Clarence		Male	7	Richard III		
Ghost Of Prince Edward		Male	6	Richard III		
Page		Male	6	Richard III		
Bishop Of Ely		Male	6	Richard III		
Ambassador		Male	6	Hamlet		
Sailor Of Tyre		Male	6	Pericles		
Second Sailor		Male	6	Pericles		
Second Musician		Male	6	Romeo and Juliet		
Servingman		Male	6	Romeo and Juliet		
First Page		Male	6	As You Like It		
Second Varro'S Servant		Male	6	Timon of Athens		
Second Bandit		Male	6	Timon of Athens		
Third Player		Male	6	Hamlet		
Philotus		Male	6	Timon of Athens		
Cupid		Male	6	Timon of Athens		
Herald		Male	6	Coriolanus		
French Messenger		Male	6	King John		
Captain		Male	6	Titus Andronicus		
Peto		Male	6	Henry IV Part 2		
Servant		Male	6	Macbeth		
Messenger		Male	6	Henry IV Part 1		
Another Lord		Male	6	Richard II		
First Herald		Male	6	Richard II		
Officer		Male	6	Henry VI Part 1		
Patience		Female	6	Henry VIII		
Captain		Male	6	Henry VI Part 1		
Second Watch		Male	6	Antony and Cleopatra		
First Watch		Male	6	Antony and Cleopatra		
Menecrates		Male	6	Antony and Cleopatra		
Post		Male	6	Henry VI Part 2		
Boy		Male	6	Antony and Cleopatra		
Egyptian		Male	6	Antony and Cleopatra		
Messenger		Male	6	Henry V		
Second French Herald		Male	6	King Edward III		
Friar Thomas		Male	6	Measure for Measure		
Boy		Male	6	Measure for Measure		
Second Brother		Male	6	Cymbeline		
Second Captain		Male	6	Cymbeline		
Second Petitioner		Male	6	Henry VI Part 2		
Epilogue		Male	6	All's Well That Ends Well		
Mustardseed		Male	5	A Midsummer Night's Dream		
Somerville		Male	5	Henry VI Part 3		
Mayor		Male	5	Henry VI Part 3		
French Captain		Male	5	King Edward III		
Forester		Male	5	Love's Labour's Lost		
Second Knight		Male	5	The Two Noble Kinsmen		
Servant		Male	5	Measure for Measure		
Gloucester		Male	5	Henry V		
Second Wealthy Citizen		Male	5	King Edward III		
Demetrius		Male	5	Antony and Cleopatra		
Second Messenger		Male	5	Henry VI Part 2		
First Guard		Male	5	Antony and Cleopatra		
Seleucus		Male	5	Antony and Cleopatra		
Scout		Male	5	Henry VI Part 1		
Woodville		Male	5	Henry VI Part 1		
Keeper		Male	5	Richard II		
Servingman		Male	5	Richard II		
First Traveller		Male	5	Henry IV Part 1		
Seyton		Male	5	Macbeth		
Third Apparition		Male	5	Macbeth		
Sergeant		Male	5	Henry VIII		
Shadow		Male	5	Henry IV Part 2		
Lady Northumberland		Female	5	Henry IV Part 2		
Second Servant		Male	5	King Lear		
Third Servant		Male	5	King Lear		
A Goth		Male	5	Titus Andronicus		
First Murderer		Male	5	Henry VI Part 2		
Both Tribunes		Male	5	Coriolanus		
Second Senator		Male	5	Othello		
First Musician		Male	5	Othello		
First Officer		Male	5	Othello		
Lucilius		Male	5	Timon of Athens		
Sailor		Male	5	Hamlet		
Sir Oliver		Male	5	As You Like It		
Second Servingman		Male	5	Romeo and Juliet		
Citizens		Male	5	Romeo and Juliet		
Abram		Male	5	Romeo and Juliet		
First Lord Of Pentapolis		Male	5	Pericles		
First Gentleman Of Mytilene		Male	5	Pericles		
First Messenger		Male	5	Richard III		
Girl		Female	5	Richard III		
Ghost Of Hastings		Male	5	Richard III		
Second Lady		Female	4	The Winter's Tale		
First Knight		Male	4	Pericles		
All		Male	4	Hamlet		
Second Gentleman Of Mytilene		Male	4	Pericles		
First Lord To Frederick		Male	4	As You Like It		
Phrynia And Timandra		Female	4	Timon of Athens		
Third Lord		Male	4	Timon of Athens		
Third Senator		Male	4	Timon of Athens		
Timandra		Female	4	Timon of Athens		
Sailor		Male	4	Othello		
Citizen		Male	4	Coriolanus		
Both Servingmen		Male	4	Coriolanus		
First Volscian Soldier		Male	4	Coriolanus		
First Citizen		Male	4	Henry VI Part 2		
Michael		Male	4	Henry VI Part 2		
Jourdain		Female	4	Henry VI Part 2		
Man		Male	4	Henry VI Part 2		
Mutius		Male	4	Titus Andronicus		
Messenger		Male	4	Henry IV Part 2		
Vintner		Male	4	Henry IV Part 1		
Porter		Male	4	Henry IV Part 2		
Will		Male	4	Henry IV Part 2		
Vaux		Male	4	Henry VIII		
Second Apparition		Male	4	Macbeth		
Murderer		Male	4	Macbeth		
Soldier		Male	4	Henry VI Part 1		
Sentinel		Male	4	Henry VI Part 1		
Sergeant		Male	4	Henry VI Part 1		
Lawyer		Male	4	Henry VI Part 1		
Scribe		Male	4	Henry VIII		
Messenger		Male	4	Henry VIII		
Gentleman		Male	4	Henry VIII		
Denny		Male	4	Henry VIII		
Gaoler		Male	4	Henry VI Part 1		
Varro		Male	4	Julius Caesar		
Boy		Male	4	Henry VI Part 1		
First Soldier For Antony		Male	4	Julius Caesar		
Lepidus		Male	4	Julius Caesar		
Messenger		Male	4	Julius Caesar		
Second Messenger		Male	4	Antony and Cleopatra		
Guardsman		Male	4	Antony and Cleopatra		
Third Soldier		Male	4	Antony and Cleopatra		
Varrius		Male	4	Antony and Cleopatra		
Armado As Hector		Male	4	Love's Labour's Lost		
Gentleman		Male	4	The Two Noble Kinsmen		
Polonian Captain		Male	4	King Edward III		
Messenger		Male	4	Measure for Measure		
Second Officer		Male	4	Twelfth Night		
Messenger		Male	4	Cymbeline		
First Captain		Male	4	Cymbeline		
Both		Male	4	Cymbeline		
All		Male	4	Antony and Cleopatra		
Marcade		Male	4	Love's Labour's Lost		
Douglas		Male	4	King Edward III		
Nathaniel As Alexander		Male	4	Love's Labour's Lost		
Sheriff		Male	4	Henry VI Part 2		
First Player		Male	4	The Taming of the Shrew		
Peaseblossom		Male	4	A Midsummer Night's Dream		
Cobweb		Male	4	A Midsummer Night's Dream		
Helenus		Female	4	Troilus and Cressida		
Messenger		Male	4	All's Well That Ends Well		
Servingman		Male	4	The Merchant of Venice		
Nathaniel		Male	4	The Taming of the Shrew		
Hostess		Female	4	The Taming of the Shrew		
Servant		Male	3	The Taming of the Shrew		
Second Huntsman		Male	3	The Taming of the Shrew		
Margarelon		Male	3	Troilus and Cressida		
Captain		Male	3	King Lear		
Norfolk		Male	3	Henry VI Part 3		
Lieutenant		Male	3	Henry VI Part 3		
Tutor		Male	3	Henry VI Part 3		
Bohemia		Male	3	King Edward III		
First Lord		Male	3	Love's Labour's Lost		
Attendant		Male	3	Cymbeline		
Third Watchman		Male	3	Romeo and Juliet		
First Tribune		Male	3	Cymbeline		
Servant		Male	3	Twelfth Night		
Justice		Male	3	Measure for Measure		
Second Citizen		Male	3	King Edward III		
All Queens		Female	3	The Two Noble Kinsmen		
All The Guards		Male	3	Antony and Cleopatra		
Tribunes		Male	3	Titus Andronicus		
Servant		Male	3	Antony and Cleopatra		
Dardanius		Male	3	Julius Caesar		
Ghost		Male	3	Julius Caesar		
Volumnius		Male	3	Julius Caesar		
First Soldier		Male	3	Henry VI Part 1		
First Warder		Male	3	Henry VI Part 1		
Crier		Male	3	Henry VIII		
Garter		Male	3	Henry VIII		
Murderers		Male	3	Macbeth		
All Lords		Male	3	Macbeth		
Lords		Male	3	Macbeth		
Second Lady		Female	3	Richard II		
Servant		Male	3	Henry IV Part 1		
First Lady		Female	3	Richard II		
Snare		Male	3	Henry IV Part 2		
Clerk		Male	3	Henry VI Part 2		
A Roman		Male	3	Titus Andronicus		
First Neighbour		Male	3	Henry VI Part 2		
Citizens		Male	3	Coriolanus		
Essex		Male	3	King John		
All The People		Male	3	Coriolanus		
Gentleman		Male	3	Othello		
First Gentleman		Male	3	Othello		
All The Bandits		Male	3	Timon of Athens		
Dennis		Male	3	As You Like It		
Second Page		Male	3	As You Like It		
Master		Male	3	The Tempest		
Seventh Citizen		Male	3	Coriolanus		
Cousin Capulet		Male	3	Romeo and Juliet		
Fourth Servingman		Male	3	Romeo and Juliet		
Lady Montague		Female	3	Romeo and Juliet		
Sailor Of Mytilene		Male	3	Pericles		
Lord Of Mytilene		Male	3	Pericles		
Fourth Player		Male	3	Hamlet		
Knights		Male	3	Pericles		
Lords		Male	3	The Winter's Tale		
Children		Male	3	Richard III		
Lords		Male	3	Richard III		
Lovel		Male	3	Richard III		
Second Messenger		Male	3	Richard III		
Pursuivant		Male	3	Richard III		
Priest		Male	2	Richard III		
Oxford		Male	2	Richard III		
Ghost Of Rivers		Male	2	Richard III		
Ghost Of Vaughan		Male	2	Richard III		
Gentleman		Male	2	Richard III		
All Ghosts		Male	2	Richard III		
First Pirate		Male	2	Pericles		
Escanes		Male	2	Pericles		
Daughter		Female	2	Pericles		
Sheriff		Male	2	Richard III		
All Lords		Male	2	Hamlet		
Third Pirate		Male	2	Pericles		
Third Lord		Male	2	Pericles		
Second Lord Of Pentapolis		Male	2	Pericles		
Citizen		Male	2	Romeo and Juliet		
Third Lord		Male	2	Coriolanus		
Second Senator		Male	2	Coriolanus		
Sixth Citizen		Male	2	Coriolanus		
Lord		Male	2	As You Like It		
Second Lord		Male	2	As You Like It		
Rosencrantz And Guildenstern		Male	2	Hamlet		
Horatio And Marcellus		Male	2	Hamlet		
His Followers		Male	2	Hamlet		
Fourth Gentleman		Male	2	Othello		
"Page, Shallow, And Slender"		Male	2	The Merry Wives of Windsor		
John		Male	2	The Merry Wives of Windsor		
All		Male	2	The Merry Wives of Windsor		
All Senators		Male	2	Coriolanus		
All Soldiers		Male	2	Coriolanus		
All Conspirators		Male	2	Coriolanus		
All Lords		Male	2	Coriolanus		
Executioner		Male	2	King John		
Boy		Male	2	Coriolanus		
Fifth Citizen		Male	2	Coriolanus		
Gentlewoman		Female	2	Coriolanus		
Patrician		Male	2	Coriolanus		
Commons		Male	2	Henry VI Part 2		
First Prentice		Male	2	Henry VI Part 2		
Herald		Male	2	Henry VI Part 2		
Boy		Male	2	Much Ado About Nothing		
Mayor		Male	2	Henry VI Part 2		
All		Male	2	Titus Andronicus		
Beadle		Male	2	Henry VI Part 2		
Third Groom		Male	2	Henry IV Part 2		
All		Male	2	Pericles		
Wart		Male	2	Henry IV Part 2		
Man		Male	2	Richard II		
First Apparition		Male	2	Macbeth		
Fleance		Male	2	Macbeth		
All		Male	2	Macbeth		
Secretary		Male	2	Henry VIII		
Second Servingman		Male	2	Henry VI Part 1		
Servingmen		Male	2	Henry VI Part 1		
Watch		Male	2	Henry VI Part 1		
Gargrave		Male	2	Henry VI Part 1		
Varro And Claudius		Male	2	Julius Caesar		
Claudius		Male	2	Julius Caesar		
Popilius		Male	2	Julius Caesar		
Second Soldier		Male	2	Julius Caesar		
Publius		Male	2	Julius Caesar		
Second Guard		Male	2	Antony and Cleopatra		
Second Guard Of Caesar'S		Male	2	Antony and Cleopatra		
Gallus		Male	2	Antony and Cleopatra		
Romans		Male	2	Titus Andronicus		
Court		Male	2	Henry V		
York		Male	2	Henry V		
Brothers		Male	2	Cymbeline		
All Citizens		Male	2	King Edward III		
Palamon And Arcite		Male	2	The Two Noble Kinsmen		
Gobin		Male	2	King Edward III		
Second Murderer		Male	2	Henry VI Part 2		
Second Neighbour		Male	2	Henry VI Part 2		
Soldier		Male	2	Henry VI Part 3		
All Soldiers		Male	2	Antony and Cleopatra		
Huntsman		Male	2	Henry VI Part 3		
Nobleman		Male	2	Henry VI Part 3		
Third Neighbour		Male	2	Henry VI Part 2		
Second Prentice		Male	2	Henry VI Part 2		
Servant		Male	2	Henry VI Part 2		
Deiphobus		Male	2	Troilus and Cressida		
Boy		Male	2	Troilus and Cressida		
All		Male	2	Troilus and Cressida		
Second Soldier		Male	2	All's Well That Ends Well		
Soldiers		Male	2	Troilus and Cressida		
Second Fairy		Male	2	A Midsummer Night's Dream		
Moth		Male	2	A Midsummer Night's Dream		
Peter		Male	2	The Taming of the Shrew		
Leonardo		Male	2	The Merchant of Venice		
Man		Male	2	The Merchant of Venice		
Page		Male	1	All's Well That Ends Well		
Both Lords		Male	1	All's Well That Ends Well		
All Soldiers		Male	1	All's Well That Ends Well		
All The Lords		Male	1	All's Well That Ends Well		
Attendant		Male	1	All's Well That Ends Well		
Nicholas		Male	1	The Taming of the Shrew		
Joseph		Male	1	The Taming of the Shrew		
First Servingman Of Petruchio		Male	1	The Taming of the Shrew		
Gremio And Tranio		Male	1	The Taming of the Shrew		fool
Grumio And Biondello		Male	1	The Taming of the Shrew		fool
Haberdasher		Male	1	The Taming of the Shrew		
Philip		Male	1	The Taming of the Shrew		
Players		Male	1	The Taming of the Shrew		
Servingman		Male	1	The Taming of the Shrew		
All		Male	1	The Merchant of Venice		
Balthasar		Male	1	The Merchant of Venice		
Carpenter		Male	1	Julius Caesar		
All Fairies		Male	1	A Midsummer Night's Dream		
All Mechanicals		Male	1	A Midsummer Night's Dream		
Fourth Lord		Male	1	All's Well That Ends Well		
Widow And Mariana		Female	1	All's Well That Ends Well		
Man		Male	1	Troilus and Cressida		
Myrmidons		Male	1	Troilus and Cressida		
Soldier		Male	1	Henry VI Part 2		
Warwick And Salisbury		Male	1	Henry VI Part 2		
Albany And Cornwall		Male	1	King Lear		
Sir John		Male	1	Henry VI Part 3		
Second Messenger		Male	1	Henry VI Part 3		
Nell		Female	1	The Two Noble Kinsmen		
Third Knight		Male	1	The Two Noble Kinsmen		
Taborer		Male	1	The Two Noble Kinsmen		
All Attendants		Male	1	Antony and Cleopatra		
All Caesar'S Attendants		Male	1	Antony and Cleopatra		
All Lords		Male	1	Antony and Cleopatra		
All Frenchmen		Male	1	King Edward III		
Holofernes As Judas		Male	1	Love's Labour's Lost		
First Esquire		Male	1	King Edward III		
Cloten And Lords		Male	1	Cymbeline		fool
All		Male	1	Cymbeline		
A Lord		Male	1	Much Ado About Nothing		
